onDraw Prepare Execute
8.48 0.80 5.87
5.84 0.73 7.64
7.27 1.04 6.13
7.86 0.78 6.14
6.83 0.73 5.53
9.21 0.77 5.81
6.73 0.82 8.21
7.36 0.78 5.52
6.14 0.83 6.43
7.96 0.97 5.88
7.35 0.71 4.66
5.66 0.99 4.52
7.27 0.68 5.96
6.36 0.79 7.24
7.02 0.50 4.27
4.70 0.55 6.26
7.44 0.70 7.96
8.95 0.71 6.22
8.15 1.34 6.83
9.24 0.71 6.55
6.96 0.71 5.18
5.65 0.62 4.61
8.70 0.73 5.57
6.12 0.76 5.64
6.82 0.74 6.16
6.44 0.84 6.79
5.73 0.80 6.21
5.88 0.75 5.20
10.11 0.76 5.78
6.27 0.70 5.06
10.78 0.66 5.47
7.44 0.57 4.79
5.35 0.72 4.15
5.13 0.60 4.76
7.78 0.73 5.28
7.75 1.05 6.76
8.14 0.75 5.42
5.41 0.64 6.52
6.28 0.74 5.52
6.87 0.70 6.64
5.73 0.81 4.56
9.18 0.73 4.51
6.12 0.70 6.24
7.77 1.14 5.68
6.65 1.19 5.35
6.96 0.79 5.70
8.50 0.80 5.89
6.87 0.72 5.11
6.18 0.70 4.98
7.12 0.84 5.66
7.66 0.81 6.14
6.16 1.11 5.52
5.78 0.89 6.01
6.79 0.69 4.92
5.94 0.67 6.85
4.66 0.58 5.03
7.28 0.74 5.81
6.35 0.87 5.25
5.27 0.62 4.56
5.79 6.62 6.65
4.86 0.57 5.52
21.49 0.34 3.60
10.25 0.25 2.41
2.22 1.02 4.42
1.41 0.21 3.54
1.25 0.21 3.19
1.23 0.21 3.28
1.51 0.25 4.36
1.36 0.24 3.99
1.64 0.21 3.56
48.23 0.64 3.42
8.00 0.26 3.82
2.02 0.28 3.42
3.08 0.33 2.71
2.47 0.35 3.36
2.09 1.00 2.73
2.55 0.36 3.06
2.90 12.26 7.54
4.47 0.36 3.32
3.09 1.16 3.89
2.86 0.30 3.57
4.39 0.40 3.40
3.27 0.32 3.41
2.22 0.34 4.26
2.91 0.32 2.17
4.07 0.34 2.10
1.63 0.27 4.07
1.72 0.29 3.51
1.84 0.28 4.27
1.54 0.28 4.10
1.60 0.27 4.13
1.49 0.27 6.63
1.74 0.29 5.72
1.22 0.25 3.75
1.28 0.26 4.56
1.16 0.26 4.44
1.45 0.53 5.27
12.28 1.47 7.25
13.40 0.39 2.26
3.95 0.72 2.07
4.27 0.31 3.38
4.41 0.31 2.68
4.61 0.32 2.98
4.34 0.34 2.93
4.61 0.35 3.09
3.99 0.30 1.96
7.45 0.63 4.12
8.11 0.65 4.05
7.85 0.65 4.36
7.74 0.61 4.13
8.00 0.62 4.17
6.69 0.57 4.65
3.45 0.51 4.10
3.60 0.52 4.84
4.80 0.49 4.12
3.48 0.48 4.98
4.47 0.50 4.08
3.16 0.48 4.47
3.22 0.48 3.98
3.33 0.52 4.17
3.58 0.49 4.80
3.24 0.66 6.13
3.93 0.47 4.05
3.37 0.47 3.82
3.80 0.45 3.68
3.43 0.50 4.12
3.21 0.66 6.06
3.01 0.49 4.23
3.92 0.44 3.99
3.52 0.46 3.89
2.97 0.46 3.53
4.96 0.50 3.79
3.13 0.98 4.01
3.17 0.49 4.80
3.56 0.48 3.54
3.22 0.69 5.77
3.62 0.46 3.87
4.36 0.49 3.78
3.04 0.68 3.83
3.31 0.50 3.62
3.89 0.48 3.94
3.22 0.67 3.81
3.59 0.47 3.86
5.53 0.56 3.83
3.15 0.55 6.08
3.09 0.48 6.58
3.34 0.46 3.83
3.27 0.47 3.98
5.20 0.49 3.87
3.74 0.48 3.61
4.35 0.73 4.13
3.20 0.66 4.18
3.10 0.44 4.13
4.00 0.48 4.23
3.25 0.68 3.72
5.13 1.50 5.82
8.47 0.75 7.21
10.45 1.09 8.06
9.38 0.88 7.04
5.29 0.83 6.34
7.11 0.80 6.46
8.64 0.81 6.60
5.46 1.09 4.71
5.85 0.59 4.26
6.77 0.68 5.17
6.91 0.79 4.94
4.92 1.14 4.72
6.26 0.74 4.84
8.28 0.72 5.37
6.55 0.84 4.33
5.22 0.66 5.14
8.89 0.71 5.12
6.68 0.70 4.75
10.45 0.74 4.69
5.10 0.66 5.07
6.24 1.07 4.53
4.43 0.80 5.11
5.12 0.69 5.67
6.35 0.68 6.48
7.32 0.66 4.43
5.17 0.74 9.87
4.72 0.37 3.69
1.62 0.45 3.53
1.35 0.22 3.64
1.47 0.24 3.09
1.38 0.21 3.38
1.14 0.20 4.02
1.51 0.25 4.64
1.38 0.25 3.94
2.48 0.52 4.83
1.10 0.20 17.04
1.26 0.32 5.26
1.56 1.81 3.59
1.25 0.21 4.16
1.48 3.42 3.45
1.53 1.11 4.09
1.44 0.27 5.31
1.40 0.26 4.84
1.74 0.26 4.99
1.45 0.26 5.05
1.40 0.26 3.78
1.44 0.25 3.53
1.29 0.24 4.53
1.48 0.43 6.52
1.36 0.43 5.35
1.82 0.26 3.92
1.39 0.38 4.54
1.52 0.37 4.02
1.50 0.41 3.96
1.76 0.28 3.70
1.25 0.25 6.91
1.60 0.46 6.66
1.89 0.47 5.56
3.56 0.76 9.19
3.64 0.47 8.40
6.07 0.46 13.68
9.58 0.70 17.74
4.47 1.14 14.11
4.24 0.51 4.72
4.08 0.26 2.96
3.78 0.28 2.22
4.05 0.83 2.20
4.10 0.30 2.92
4.10 0.32 3.13
4.14 0.33 3.00
4.58 0.33 2.88
4.40 0.63 4.29
6.05 0.60 4.88
6.44 0.55 4.11
6.38 0.57 5.59
6.62 0.58 4.38
7.30 0.53 4.31
5.34 0.49 4.28
3.25 0.46 4.02
3.08 0.61 4.57
3.26 0.46 4.46
3.10 0.91 4.39
2.89 0.60 5.29
3.27 0.47 3.84
3.14 0.48 3.77
3.05 0.65 4.22
3.18 0.46 4.49
3.17 0.45 3.83
3.11 0.74 3.90
3.87 0.70 3.88
3.43 0.78 4.03
3.22 0.48 4.47
3.47 0.46 3.98
2.93 0.59 4.26
3.37 0.64 3.80
3.50 0.47 6.05
3.05 0.61 4.75
3.14 0.73 6.06
4.20 0.48 3.86
3.16 0.51 5.16
3.46 0.64 4.05
3.06 0.92 3.90
3.38 0.48 4.17
3.01 0.42 4.55
3.41 0.47 4.31
3.41 0.78 4.10
3.26 0.48 4.27
3.28 0.45 4.03
3.00 0.59 3.74
3.48 0.46 4.19
3.34 0.46 4.22
3.30 0.45 3.96
3.23 0.45 3.58
3.48 0.46 4.64
2.97 0.62 3.97
3.09 0.45 4.03
3.38 0.44 4.33
3.19 0.62 4.58
3.08 0.60 3.83
5.52 0.46 3.77
5.00 0.59 6.67
5.75 0.71 9.79
5.60 0.80 6.36
6.78 1.02 4.90
6.82 0.82 6.95
8.29 0.77 5.48
5.76 0.75 5.11
8.65 0.74 5.90
5.67 0.77 5.37
7.05 0.66 4.79
6.08 0.78 5.38
6.50 0.76 7.39
7.31 1.13 9.89
4.96 1.49 7.50
6.80 0.72 5.20
9.76 0.75 5.62
7.33 0.79 5.56
9.19 0.73 5.37
6.22 0.73 5.69
6.61 0.81 5.50
6.75 1.61 7.16
7.49 1.62 5.70
9.30 0.59 4.57
5.35 0.62 8.92
7.60 1.07 5.38
4.47 0.56 5.07
6.99 0.71 8.21
16.52 0.27 2.59
1.35 0.29 6.22
1.43 0.23 3.83
1.46 0.22 7.13
1.31 0.22 3.40
1.35 0.27 4.07
1.37 0.26 4.12
1.41 0.26 4.10
2.73 0.30 3.30
2.61 0.29 3.47
2.62 0.30 2.16
2.58 0.30 2.13
2.54 0.29 2.12
2.49 0.29 2.10
2.63 0.30 2.15
4.35 0.87 4.60
4.36 0.66 5.65
6.12 1.18 4.76
2.92 0.30 2.88
2.55 0.28 3.00
2.19 0.42 3.50
2.15 0.27 2.67
2.09 0.28 2.99
2.10 0.28 3.08
2.09 0.28 3.69
3.28 0.52 5.57
3.91 0.50 5.98
3.23 0.90 4.04
9.97 0.59 5.18
2.72 0.73 8.79
3.36 0.73 8.80
4.57 0.68 14.18
3.14 0.49 38.37
7.75 0.53 21.00
23.29 0.49 4.73
12.30 0.39 4.07
5.47 0.28 2.48
3.73 0.32 2.25
4.08 0.28 2.58
4.15 0.31 2.95
4.12 0.31 3.02
4.50 0.33 3.09
3.93 0.32 2.13
4.23 0.29 2.22
7.35 0.59 3.92
6.12 0.60 4.33
7.23 0.58 4.39
6.42 0.54 3.98
5.19 0.86 4.30
3.82 0.48 4.37
3.41 0.45 3.95
3.04 0.47 4.24
3.11 0.46 4.68
2.88 0.45 4.49
3.27 0.45 3.82
2.76 0.45 7.29
3.24 0.44 7.12
3.29 0.44 4.35
3.67 0.47 4.19
2.96 0.66 4.21
3.47 0.46 3.82
4.86 0.48 3.92
2.82 0.65 4.45
2.99 0.45 4.56
3.04 0.47 3.81
3.97 0.46 4.58
2.96 0.66 5.72
2.94 0.45 3.64
3.38 0.44 4.02
3.07 0.70 3.65
2.99 0.67 4.06
3.00 0.47 4.01
3.56 0.77 3.95
2.97 0.65 4.36
2.97 0.47 3.55
3.30 0.54 5.45
3.89 0.58 3.83
2.96 0.63 3.94
3.18 0.44 5.77
3.35 0.49 5.25
3.18 0.87 3.98
3.18 0.67 3.85
3.16 0.46 3.49
3.68 0.46 3.48
3.16 0.64 4.75
2.94 0.47 4.30
3.17 0.46 3.48
4.12 0.47 3.75
2.98 0.72 3.67
3.00 0.47 3.87
3.37 0.49 3.98
3.21 0.46 4.79
11.27 0.68 5.22
11.84 0.72 6.61
6.23 0.71 5.01
5.95 0.72 4.61
6.78 1.03 5.58
4.99 0.74 5.62
6.33 0.74 4.82
5.81 1.01 6.35
6.75 0.71 5.63
6.94 1.09 7.47
4.41 1.26 8.53
4.13 2.32 4.32
5.59 0.71 6.68
5.34 0.76 4.96
5.01 0.59 4.76
6.17 0.77 5.50
8.03 0.73 5.98
7.33 0.76 6.32
6.31 0.77 5.75
5.52 0.79 5.30
8.25 0.88 5.73
7.97 0.82 5.69
6.28 0.77 5.45
5.54 0.69 5.54
8.18 0.70 5.88
4.92 0.72 5.24
8.56 0.66 4.30
1.54 0.45 4.16
1.37 0.45 3.76
1.28 0.22 3.07
1.27 0.21 3.61
1.42 0.27 3.51
1.31 0.26 5.82
1.40 0.26 5.98
1.52 0.27 4.04
1.27 0.26 4.00
